idx,Date,Coin
1,[2023-11-19 Sun 18:00],HALO
2,[2023-11-05 Sun 18:00],MONI
3,[2023-10-08 Sun 18:00],WOMBAT
4,[2023-09-17 Sun 18:00],UNIC
5,[2023-08-06 Sun 18:00],NORD
6,[2023-06-25 Sun 18:00],PMON
7,[2023-06-11 Sun 18:00],ODDZ
8,[2023-04-30 Sun 18:00],HBB
9,[2023-03-19 Sun 18:00],QUARTZ
10,[2023-02-19 Sun 18:00],SON
11,[2023-01-29 Sun 18:00],WAL
12,[2022-11-06 Sun 18:00],ARKER
13,[2022-10-23 Sun 18:00],LAVAX
14,[2022-10-16 Sun 18:00],FLAME
15,[2022-10-02 Sun 18:00],LBP
16,[2022-08-14 Sun 18:00],AGIX
17,[2022-05-15 Sun 18:00],MLN
18,[2022-01-02 Sun 18:00],NEBL
19,[2023-10-16 Mon 15:20],BTC
